fylke,school,program,occurrence,category,grep_code,level,year,round,points,status
Akershus,Asker,Studiespesialisering,0,ST,STUSP1----,Vg1,2025,1,44.6,points
Akershus,Bjertnes,Bygg- og anleggsteknikk,0,BA,BABAT1----,Vg1,2025,1,35.0,points
Akershus,Bjertnes,Elektro og datateknologi,0,EL,ELELE1----,Vg1,2025,1,42.2,points
Akershus,Bjertnes,Helse- og oppvekstfag,0,HS,HSHSF1----,Vg1,2025,1,,open
Akershus,Bjertnes,"Salg, service og reiseliv",0,SR,SRSSR1----,Vg1,2025,1,37.8,points
Akershus,Bjertnes,Studiespesialisering,0,ST,STUSP1----,Vg1,2025,1,42.8,points
Akershus,Bjørkelangen,Elektro og datateknologi,0,EL,ELELE1----,Vg1,2025,1,32.2,points
Akershus,Bjørkelangen,"Frisør, blomster, interiør og eksponeringsdesign",0,FD,FDFBI1----,Vg1,2025,1,22.5,points
Akershus,Bjørkelangen,Helse- og oppvekstfag,0,HS,HSHSF1----,Vg1,2025,1,29.6,points
Akershus,Bjørkelangen,Idrettsfag,0,ID,IDRET1----,Vg1,2025,1,40.0,points
Akershus,Bjørkelangen,"Salg, service og reiseliv",0,SR,SRSSR1----,Vg1,2025,1,25.0,points
Akershus,Bjørkelangen,Studiespesialisering,0,ST,STUSP1----,Vg1,2025,1,33.5,points
Akershus,Bjørkelangen,Teknologi- og industrifag,0,TP,TPTIP1----,Vg1,2025,1,22.7,points
Akershus,Bleiker,Elektro og datateknologi,0,EL,ELELE1----,Vg1,2025,1,36.9,points
Akershus,Bleiker,Helse- og oppvekstfag,0,HS,HSHSF1----,Vg1,2025,1,32.5,points
Akershus,Bleiker,Idrettsfag,0,ID,IDRET1----,Vg1,2025,1,46.3,points
Akershus,Bleiker,"Idrettsfag, toppidrett",0,ID,IDRET1----,Vg1,2025,1,,documentation
Akershus,Bleiker,Informasjonsteknologi og medieproduksjon,0,IM,IMIKM1----,Vg1,2025,1,24.7,points
Akershus,Bleiker,Medier og kommunikasjon,0,MK,MKMED1----,Vg1,2025,1,40.0,points
Akershus,Bleiker,"Salg, service og reiseliv",0,SR,SRSSR1----,Vg1,2025,1,39.1,points
Akershus,Bleiker,Teknologi- og industrifag,0,TP,TPTIP1----,Vg1,2025,1,33.0,points
Akershus,Drømtorp,Helse- og oppvekstfag,0,HS,HSHSF1----,Vg1,2025,1,17.5,points
Akershus,Drømtorp,Informasjonsteknologi og medieproduksjon,0,IM,IMIKM1----,Vg1,2025,1,29.6,points
Akershus,Drømtorp,Medier og kommunikasjon,0,MK,MKMED1----,Vg1,2025,1,34.0,points
Akershus,Drømtorp,"Salg, service og reiseliv",0,SR,SRSSR1----,Vg1,2025,1,,open
Akershus,Dønski,Idrettsfag,0,ID,IDRET1----,Vg1,2025,1,44.1,points
Akershus,Dønski,"Idrettsfag, alpin, 4-årig",0,ID,IDRET1----,Vg1,2025,1,,documentation
Akershus,Dønski,"Idrettsfag, toppidrett",0,ID,IDRET1----,Vg1,2025,1,,documentation
Akershus,Dønski,Studiespesialisering,0,ST,STUSP1----,Vg1,2025,1,41.9,points
Akershus,Dønski,"Studiespesialisering, toppidrett",0,ST,STUSP1----,Vg1,2025,1,,documentation
Akershus,Eidsvoll,Bygg- og anleggsteknikk,0,BA,BABAT1----,Vg1,2025,1,31.9,points
Akershus,Eidsvoll,Elektro og datateknologi,0,EL,ELELE1----,Vg1,2025,1,40.4,points
Akershus,Eidsvoll,Helse- og oppvekstfag,0,HS,HSHSF1----,Vg1,2025,1,29.0,points
Akershus,Eidsvoll,Idrettsfag,0,ID,IDRET1----,Vg1,2025,1,40.4,points
Akershus,Eidsvoll,Studiespesialisering,0,ST,STUSP1----,Vg1,2025,1,29.3,points
Akershus,Eidsvoll,Teknologi- og industrifag,0,TP,TPTIP1----,Vg1,2025,1,32.1,points
Akershus,Eikeli,"Salg, service og reiseliv",0,SR,SRSSR1----,Vg1,2025,1,,open
Akershus,Eikeli,Studiespesialisering,0,ST,STUSP1----,Vg1,2025,1,33.3,points
Akershus,Frogn,Idrettsfag,0,ID,IDRET1----,Vg1,2025,1,40.6,points
Akershus,Frogn,"Salg, service og reiseliv",0,SR,SRSSR1----,Vg1,2025,1,32.7,points
Akershus,Frogn,"Salg, service og reiseliv, SK",0,SR,SRSSR1----,Vg1,2025,1,38.8,points
Akershus,Frogn,Studiespesialisering,0,ST,STUSP1----,Vg1,2025,1,,open
Akershus,Hvam,Idrettsfag,0,ID,IDRET1----,Vg1,2025,1,32.5,points
Akershus,Hvam,Medier og kommunikasjon,0,MK,MKMED1----,Vg1,2025,1,,open
Akershus,Hvam,Naturbruk,0,NA,NANAB1----,Vg1,2025,1,30.6,points
Akershus,Hvam,"Naturbruk, energi-/miljøfag, SK 3 år",0,NA,NANAB1----,Vg1,2025,1,38.7,points
