fylke,school,program,occurrence,level,category,year,round,expected,spread,p_fill,history_years,held_out
Akershus,Asker,Studiespesialisering,0,Vg1,ST,2027,2,43.0,4.3,0.889,4,0
Akershus,Bjertnes,Bygg- og anleggsteknikk,0,Vg1,BA,2027,2,29.0,4.9,0.851,3,0
Akershus,Bjertnes,Elektro og datateknologi,0,Vg1,EL,2027,2,37.8,4.9,0.921,3,0
Akershus,Bjertnes,Helse- og oppvekstfag,0,Vg1,HS,2027,2,31.3,6.0,0.394,0,0
Akershus,Bjertnes,"Salg, service og reiseliv",0,Vg1,SR,2027,2,30.5,6.5,0.87,3,0
Akershus,Bjertnes,Studiespesialisering,0,Vg1,ST,2027,2,38.6,4.9,0.809,3,0
Akershus,Bjørkelangen,Elektro og datateknologi,0,Vg1,EL,2027,2,30.0,4.9,0.898,3,0
Akershus,Bjørkelangen,"Frisør, blomster, interiør og eksponeringsdesign",0,Vg1,FD,2027,2,23.1,7.1,0.799,2,0
Akershus,Bjørkelangen,Helse- og oppvekstfag,0,Vg1,HS,2027,2,26.5,4.9,0.812,3,0
Akershus,Bjørkelangen,Idrettsfag,0,Vg1,ID,2027,2,39.1,4.9,0.849,3,0
Akershus,Bjørkelangen,"Salg, service og reiseliv",0,Vg1,SR,2027,2,29.4,6.5,0.842,3,0
Akershus,Bjørkelangen,Studiespesialisering,0,Vg1,ST,2027,2,33.5,5.2,0.482,1,0
Akershus,Bjørkelangen,Teknologi- og industrifag,0,Vg1,TP,2027,2,26.5,6.5,0.719,2,0
Akershus,Bleiker,Elektro og datateknologi,0,Vg1,EL,2027,2,36.4,4.9,0.935,3,0
Akershus,Bleiker,Helse- og oppvekstfag,0,Vg1,HS,2027,2,33.5,6.5,0.861,3,0
Akershus,Bleiker,Idrettsfag,0,Vg1,ID,2027,2,43.3,4.9,0.896,3,0
Akershus,Bleiker,Informasjonsteknologi og medieproduksjon,0,Vg1,IM,2027,2,37.6,6.0,0.457,0,0
Akershus,Bleiker,Medier og kommunikasjon,0,Vg1,MK,2027,2,38.9,4.9,0.843,3,0
Akershus,Bleiker,"Salg, service og reiseliv",0,Vg1,SR,2027,2,36.1,4.9,0.889,3,0
Akershus,Bleiker,Teknologi- og industrifag,0,Vg1,TP,2027,2,34.1,6.5,0.914,3,0
Akershus,Drømtorp,Helse- og oppvekstfag,0,Vg1,HS,2027,2,28.1,6.0,0.269,0,0
Akershus,Drømtorp,Informasjonsteknologi og medieproduksjon,0,Vg1,IM,2027,2,30.8,4.9,0.588,2,0
Akershus,Drømtorp,Medier og kommunikasjon,0,Vg1,MK,2027,2,33.6,5.2,0.383,1,0
Akershus,Drømtorp,"Salg, service og reiseliv",0,Vg1,SR,2027,2,28.5,5.2,0.432,1,0
Akershus,Dønski,Idrettsfag,0,Vg1,ID,2027,2,42.4,4.9,0.932,3,0
Akershus,Dønski,Studiespesialisering,0,Vg1,ST,2027,2,40.1,4.9,0.876,3,0
Akershus,Eidsvoll,Bygg- og anleggsteknikk,0,Vg1,BA,2027,2,28.1,4.9,0.823,3,0
Akershus,Eidsvoll,Elektro og datateknologi,0,Vg1,EL,2027,2,36.1,4.9,0.898,3,0
Akershus,Eidsvoll,Helse- og oppvekstfag,0,Vg1,HS,2027,2,28.9,4.9,0.812,3,0
Akershus,Eidsvoll,Idrettsfag,0,Vg1,ID,2027,2,37.5,4.9,0.67,2,0
Akershus,Eidsvoll,Studiespesialisering,0,Vg1,ST,2027,2,36.9,6.0,0.332,0,0
Akershus,Eidsvoll,Teknologi- og industrifag,0,Vg1,TP,2027,2,30.7,4.9,0.871,3,0
Akershus,Eikeli,"Salg, service og reiseliv",0,Vg1,SR,2027,2,31.8,5.2,0.473,1,0
Akershus,Eikeli,Studiespesialisering,0,Vg1,ST,2027,2,37.6,6.0,0.28,0,0
Akershus,Frogn,Idrettsfag,0,Vg1,ID,2027,2,36.8,4.9,0.858,3,0
Akershus,Frogn,"Salg, service og reiseliv",0,Vg1,SR,2027,2,28.7,6.5,0.851,3,0
Akershus,Frogn,"Salg, service og reiseliv, SK",0,Vg1,SR,2027,2,34.5,4.9,0.825,3,0
Akershus,Frogn,Studiespesialisering,0,Vg1,ST,2027,2,33.2,5.2,0.468,1,0
Akershus,Hvam,Idrettsfag,0,Vg1,ID,2027,2,33.3,6.5,0.662,2,0
Akershus,Hvam,Medier og kommunikasjon,0,Vg1,MK,2027,2,27.5,5.2,0.487,1,0
Akershus,Hvam,Naturbruk,0,Vg1,NA,2027,2,29.8,5.2,0.646,1,0
Akershus,Hvam,"Naturbruk, energi-/miljøfag, SK 3 år",0,Vg1,NA,2027,2,27.8,5.2,0.567,1,0
Akershus,Hvam,"Naturbruk, realfag og dyrekunnskap, SK 3 år",0,Vg1,NA,2027,2,35.9,6.5,0.783,3,0
Akershus,Jessheim,Helse- og oppvekstfag,0,Vg1,HS,2027,2,28.3,4.9,0.889,3,0
Akershus,Jessheim,"Kunst, design og arkitektur",0,Vg1,KD,2027,2,38.4,4.9,0.865,3,0
Akershus,Jessheim,"Salg, service og reiseliv",0,Vg1,SR,2027,2,30.0,4.9,0.914,3,0
Akershus,Jessheim,Studiespesialisering,0,Vg1,ST,2027,2,38.3,4.9,0.86,3,0
Akershus,Jessheim,Teknologi- og industrifag,0,Vg1,TP,2027,2,30.4,4.9,0.935,3,0
Akershus,Kjelle,Bygg- og anleggsteknikk,0,Vg1,BA,2027,2,25.0,4.9,0.646,2,0
Akershus,Kjelle,Naturbruk,0,Vg1,NA,2027,2,29.1,4.9,0.656,2,0
Akershus,Lillestrøm,Medier og kommunikasjon,0,Vg1,MK,2027,2,41.8,4.9,0.932,3,0
Akershus,Lillestrøm,Studiespesialisering,0,Vg1,ST,2027,2,44.9,4.9,0.924,3,0
Akershus,Lillestrøm,"Studiespesialisering, forberedende IB",0,Vg1,ST,2027,2,42.4,4.9,0.899,3,0
Akershus,Lørenskog,"Frisør, blomster, interiør og eksponeringsdesign",0,Vg1,FD,2027,2,32.6,4.9,0.91,3,0
Akershus,Lørenskog,Idrettsfag,0,Vg1,ID,2027,2,43.6,4.9,0.944,3,0
Akershus,Lørenskog,"Kunst, design og arkitektur",0,Vg1,KD,2027,2,39.4,4.9,0.899,3,0
Akershus,Lørenskog,Restaurant- og matfag,0,Vg1,RM,2027,2,30.4,4.9,0.706,2,0
Akershus,Lørenskog,Studiespesialisering,0,Vg1,ST,2027,2,42.2,4.9,0.894,3,0
Akershus,Lørenskog,"Studiespesialisering, toppidrett",0,Vg1,ST,2027,2,45.5,3.6,0.927,3,0
