year,fylke,school,program,level,category,state,actual,forecast,p_fill,p_fill_raw,history_years,last_year_value,ewma
2020,Innlandet,Elverum videregående skole,bygg- og anleggsteknikk,Vg1,BA,num,32.7,22.53,0.8,0.881,7,30.0,24.24
2020,Innlandet,Elverum videregående skole,elektro og datateknologi,Vg1,EL,num,37.1,31.13,0.817,0.899,0,,
2020,Innlandet,Elverum videregående skole,helse- og oppvekstfag,Vg1,HS,num,21.4,21.72,0.763,0.84,6,21.0,19.76
2020,Innlandet,Elverum videregående skole,idrettsfag,Vg1,ID,num,42.0,39.68,0.823,0.905,7,46.0,42.76
2020,Innlandet,Elverum videregående skole,"kunst, design og arkitektur",Vg1,KD,open,,29.84,0.717,0.78,3,35.0,28.4
2020,Innlandet,Elverum videregående skole,"salg, service og reiseliv",Vg1,SR,open,,28.08,0.668,0.708,0,,
2020,Innlandet,Elverum videregående skole,studiespesialisering,Vg1,ST,num,35.4,30.53,0.642,0.669,5,24.0,27.62
2020,Innlandet,Elverum videregående skole,"studiespesialisering, forberedende ib",Vg1,ST,open,,41.7,0.421,0.318,2,50.0,47.0
2020,Innlandet,Elverum videregående skole,teknologi- og industrifag,Vg1,TP,num,33.3,25.9,0.727,0.793,0,,
2020,Innlandet,Elverum videregående skole,industriteknologi,Vg2,TP,num,36.7,26.21,0.809,0.891,6,32.0,26.75
2020,Innlandet,Elverum videregående skole,international baccalaureate,Vg2,ST,num,31.1,36.37,0.568,0.55,3,42.0,37.32
2020,Innlandet,Elverum videregående skole,"kunst, design og arkitektur",Vg2,KD,num,30.0,32.61,0.37,0.248,1,37.0,37.0
2020,Innlandet,Elverum videregående skole,realfag,Vg2,ST,num,30.0,30.13,0.324,0.192,2,26.0,27.8
2020,Innlandet,Elverum videregående skole,"salg, service og sikkerhet",Vg2,SR,num,27.8,25.33,0.382,0.264,3,24.0,22.08
