fylke,school,program,occurrence,category,grep_code,level,year,round,points,status
Akershus,Asker,Studiespesialisering,0,ST,STUSP1----,Vg1,2024,2,45.1,points
Akershus,Asker,Studiespesialisering,0,ST,STUSP1----,Vg1,2025,2,42.5,points
Akershus,Asker,Studiespesialisering,0,ST,STUSP1----,Vg1,2026,2,47.8,points
Akershus,Bjertnes,Bygg- og anleggsteknikk,0,BA,BABAT1----,Vg1,2024,2,30.6,points
Akershus,Bjertnes,Bygg- og anleggsteknikk,0,BA,BABAT1----,Vg1,2025,2,26.9,points
Akershus,Bjertnes,Bygg- og anleggsteknikk,0,BA,BABAT1----,Vg1,2026,2,28.8,points
Akershus,Bjertnes,Elektro og datateknologi,0,EL,ELELE1----,Vg1,2024,2,38.7,points
Akershus,Bjertnes,Elektro og datateknologi,0,EL,ELELE1----,Vg1,2025,2,38.8,points
Akershus,Bjertnes,Elektro og datateknologi,0,EL,ELELE1----,Vg1,2026,2,42.0,points
Akershus,Bjertnes,Helse- og oppvekstfag,0,HS,HSHSF1----,Vg1,2024,2,,open
Akershus,Bjertnes,Helse- og oppvekstfag,0,HS,HSHSF1----,Vg1,2025,2,,open
Akershus,Bjertnes,Helse- og oppvekstfag,0,HS,HSHSF1----,Vg1,2026,2,,open
Akershus,Bjertnes,"Salg, service og reiseliv",0,SR,SRSSR1----,Vg1,2024,2,31.8,points
Akershus,Bjertnes,"Salg, service og reiseliv",0,SR,SRSSR1----,Vg1,2025,2,32.9,points
Akershus,Bjertnes,"Salg, service og reiseliv",0,SR,SRSSR1----,Vg1,2026,2,22.2,points
Akershus,Bjertnes,Studiespesialisering,0,ST,STUSP1----,Vg1,2024,2,42.2,points
Akershus,Bjertnes,Studiespesialisering,0,ST,STUSP1----,Vg1,2025,2,38.8,points
Akershus,Bjertnes,Studiespesialisering,0,ST,STUSP1----,Vg1,2026,2,37.3,points
Akershus,Bjørkelangen,Elektro og datateknologi,0,EL,ELELE1----,Vg1,2024,2,21.7,points
