# document: Buskerud fylkeskommune, «Statistikkhefte – inntak til videregående opplæring» 2012/2013, chapter 4
# file: buskerud-statistikkhefte-inntak-2012-2013.pdf, PDF page 10 (the table is a scanned image; sha256 7da1cb3661794c9a42b1bc4a732c1f440c2adf19bb17fad04abe1b0282e7e65e)
# title: «Hovedinntaket for videregående skoler i Buskerud skoleåret 2012/2013» / «Nedre poenggrense for 1. inntak til Vg1(videregående trinn 1) for ungdom med opplæringsrett.»
# title (English): Main intake for upper-secondary schools in Buskerud, school year 2012/2013. Lower points threshold for the 1st intake to Vg1 (upper-secondary level 1) for young people with the statutory right to upper-secondary education.
# round: 1 (stated: «1. inntak» in 2012/13, «hovedinntaket» (the main intake) in 2013/14 and 2014/15)
# tier: the county's own document, transcribed because the table is an image
# legend: «Til Vg1 musikk, dans og drama og Vg1 idrett v/ Ringerike og Drammen er poenggrense for de uten tilleggspoeng»
# legend (English): For Vg1 music, dance and drama and for Vg1 sports at Ringerike and Drammen, the threshold is the one for applicants without additional points.
# symbols: «alle»/«Alle» = everyone who applied was admitted (no threshold); M/Mu = musikk, D/Da = dans, Dr/DR/Dra = drama; E = m/ Entreprenørskap; Q = forskerlinje; N = Internasjonalisering; Idrettsfag branch markers (fotb/hånd/BHT/uthold/L-S) as printed; FL, YSK, Stud are printed without explanation.
# transcribed: lane X, 26 Sept 2026: two independent manual passes agree on every cell, OCR disagreements settled by zoom; orchestrator spot-check 46/46. `program` is the column header as printed; the queue marker (M, Da, Dr, Q, E, N, YSK, fotb, …) stays in `printed`, as on the page.
school,program,level,year,printed
Gol,Studiespesialisering,Vg1,2012,"36,30"
Gol,Idrettsfag,Vg1,2012,"42,90"
Gol,Musikk dans og drama,Vg1,2012,"34,70Dr"
Gol,Design og håndverk,Vg1,2012,"30,00"
Gol,Medier og kommunikasjon,Vg1,2012,"35,90"
Gol,Restaurant og matfag,Vg1,2012,"24,50"
Ål,Bygg og anleggsteknikk,Vg1,2012,"28,80"
Ål,Elektrofag,Vg1,2012,"28,20"
Ål,Helse og sosialfag,Vg1,2012,"18,00alle"
Ål,Naturbruk,Vg1,2012,"28,10alle"
Ål,Service og samferdsel,Vg1,2012,"22,70"
Ål,Teknikk og industriell prod.,Vg1,2012,"27,10"
Numedal,Studiespesialisering,Vg1,2012,"33,80 alle"
Numedal,Bygg og anleggsteknikk,Vg1,2012,"21,10alle"
Numedal,Elektrofag,Vg1,2012,"28,80"
Numedal,Helse og sosialfag,Vg1,2012,20.00alle
Numedal,Service og samferdsel,Vg1,2012,"31,80alle"
Numedal,Teknikk og industriell prod.,Vg1,2012,"17,50alle"
Kongsberg,Studiespesialisering,Vg1,2012,"36,30"
Kongsberg,Idrettsfag,Vg1,2012,"45,00"
Kongsberg,Musikk dans og drama,Vg1,2012,"35,30M"
Kongsberg,Bygg og anleggsteknikk,Vg1,2012,"28,00"
Kongsberg,Design og håndverk,Vg1,2012,"21,90"
Kongsberg,Elektrofag,Vg1,2012,"34,70"
Kongsberg,Helse og sosialfag,Vg1,2012,"28,10"
Kongsberg,Naturbruk,Vg1,2012,24.20
Kongsberg,Restaurant og matfag,Vg1,2012,"25,00"
Kongsberg,Service og samferdsel,Vg1,2012,"40,00"
Kongsberg,Teknikk og industriell prod.,Vg1,2012,"26,90"
Ringerike,Studiespesialisering,Vg1,2012,"38,10"
Ringerike,Idrettsfag,Vg1,2012,"39,40"
Ringerike,Musikk dans og drama,Vg1,2012,"31,90M"
Ringerike,Service og samferdsel,Vg1,2012,"30,00"
Hønefoss,Studiespes. med formgiving,Vg1,2012,"21,40 alle"
Hønefoss,Bygg og anleggsteknikk,Vg1,2012,"23,30"
Hønefoss,Design og håndverk,Vg1,2012,"30,60"
Hønefoss,Elektrofag,Vg1,2012,"31,30"
Hønefoss,Helse og sosialfag,Vg1,2012,"34,10"
Hønefoss,Medier og kommunikasjon,Vg1,2012,"40,60"
Hønefoss,Restaurant og matfag,Vg1,2012,"28,70"
Hønefoss,Teknikk og industriell prod.,Vg1,2012,"23,80"
Eiker,Studiespesialisering,Vg1,2012,"38,10"
Eiker,Design og håndverk,Vg1,2012,"23,10"
Rosthaug,Studiespesialisering,Vg1,2012,"38,80"
Rosthaug,Studiespesialisering,Vg1,2012,"33,50 E"
Rosthaug,Idrettsfag,Vg1,2012,"23,10"
Rosthaug,Bygg og anleggsteknikk,Vg1,2012,"25,30"
Rosthaug,Elektrofag,Vg1,2012,"32,40"
Rosthaug,Helse og sosialfag,Vg1,2012,"23,80"
Rosthaug,Medier og kommunikasjon,Vg1,2012,"41,90"
Rosthaug,Naturbruk,Vg1,2012,"25,60"
Rosthaug,Restaurant og matfag,Vg1,2012,"22,50"
Rosthaug,Service og samferdsel,Vg1,2012,"34,70"
Rosthaug,Teknikk og industriell prod.,Vg1,2012,"25,00"
Åssiden,Bygg og anleggsteknikk,Vg1,2012,"28,80"
Åssiden,Design og håndverk,Vg1,2012,"30,80"
Åssiden,Elektrofag,Vg1,2012,"36,30"
Åssiden,Helse og sosialfag,Vg1,2012,"31,90"
Åssiden,Medier og kommunikasjon,Vg1,2012,"47,10"
Åssiden,Restaurant og matfag,Vg1,2012,"27,50"
Åssiden,Teknikk og industriell prod.,Vg1,2012,"29,40"
Lier,Design og håndverk,Vg1,2012,"30,60"
Lier,Elektrofag,Vg1,2012,"35,00"
Lier,Helse og sosialfag,Vg1,2012,"28,70"
Lier,Service og samferdsel,Vg1,2012,"36,30"
St.Hallvard,Studiespesialisering,Vg1,2012,"40,00"
St.Hallvard,Idrettsfag,Vg1,2012,"41,9"
St.Hallvard,Musikk dans og drama,Vg1,2012,"51,30 M"
St.Hallvard,Musikk dans og drama,Vg1,2012,"24,40 D"
St.Hallvard,Musikk dans og drama,Vg1,2012,"48,70 Dr"
Røyken,Studiespesialisering,Vg1,2012,"33,30"
