# document: Buskerud fylkeskommune, «Statistikkhefte – inntak til videregående opplæring» 2013/2014, chapter 4
# file: buskerud-statistikkhefte-inntak-2013-2014.pdf, PDF page 8 (the table is a scanned image; sha256 82d2c3dc372b756ea418a8ca9f2314d411f127d232aff480a6170e77f09cd68a)
# title: «4. Nedre poenggrense for inntak til Vg1 – hovedinntaket 2013 - 2014»
# title (English): 4. Lower points threshold for admission to Vg1 - the main intake 2013-2014.
# round: 1 (stated: «1. inntak» in 2012/13, «hovedinntaket» (the main intake) in 2013/14 and 2014/15)
# tier: the county's own document, transcribed because the table is an image
# legend: «Til Vg1 musikk, dans og drama, alle tilbud, og Vg1 idrett v/ Ringerike og Drammen er poenggrensen for de uten tilleggspoeng.»
# legend (English): For Vg1 music, dance and drama (all offers) and Vg1 sports at Ringerike and Drammen, the threshold is the one for applicants without additional points.
# symbols: «alle»/«Alle» = everyone who applied was admitted (no threshold); M/Mu = musikk, D/Da = dans, Dr/DR/Dra = drama; E = m/ Entreprenørskap; Q = forskerlinje; N = Internasjonalisering; Idrettsfag branch markers (fotb/hånd/BHT/uthold/L-S) as printed; FL, YSK, Stud are printed without explanation.
# transcribed: lane X, 26 Sept 2026: two independent manual passes agree on every cell, OCR disagreements settled by zoom; orchestrator spot-check 46/46. `program` is the column header as printed; the queue marker (M, Da, Dr, Q, E, N, YSK, fotb, …) stays in `printed`, as on the page.
school,program,level,year,printed
Gol,Studiespesialisering,Vg1,2013,"38,2"
Gol,Idrettsfag,Vg1,2013,"45,6"
Gol,Musikk dans og drama,Vg1,2013,"32,5 Dr"
Gol,Design og håndverk,Vg1,2013,"21,3"
Gol,Medier og kommunikasjon,Vg1,2013,"41,9"
Gol,Restaurant og matfag,Vg1,2013,"30,0"
Ål,Bygg og anleggsteknikk,Vg1,2013,"34,7"
Ål,Elektrofag,Vg1,2013,"38,8"
Ål,Helse og oppvekstfag,Vg1,2013,"28,8"
Ål,Naturbruk,Vg1,2013,"28,2alleFL"
Ål,Service og samferdsel,Vg1,2013,"30,7"
Ål,Teknikk og industriell prod.,Vg1,2013,"23,1"
Numedal,Studiespesialisering,Vg1,2013,"36,3alle"
Numedal,Bygg og anleggsteknikk,Vg1,2013,"15,6alle"
Numedal,Elektrofag,Vg1,2013,"34,7"
Numedal,Helse og oppvekstfag,Vg1,2013,"20,0alle"
Numedal,Service og samferdsel,Vg1,2013,"24,4"
Numedal,Teknikk og industriell prod.,Vg1,2013,"11,1alle"
Kongsberg,Studiespesialisering,Vg1,2013,"39,3"
Kongsberg,Studiespesialisering,Vg1,2013,"37,1 Q"
Kongsberg,Idrettsfag,Vg1,2013,"40,0"
Kongsberg,Musikk dans og drama,Vg1,2013,26alle M
Kongsberg,Bygg og anleggsteknikk,Vg1,2013,"27,3"
Kongsberg,Design og håndverk,Vg1,2013,"29,3"
Kongsberg,Elektrofag,Vg1,2013,"35,6"
Kongsberg,Helse og oppvekstfag,Vg1,2013,"25,9"
Kongsberg,Naturbruk,Vg1,2013,"25,7"
Kongsberg,Restaurant og matfag,Vg1,2013,"31,2"
Kongsberg,Service og samferdsel,Vg1,2013,"37,1"
Kongsberg,Teknikk og industriell prod.,Vg1,2013,"24,2"
Ringerike,Studiespesialisering,Vg1,2013,"41,2"
Ringerike,Idrettsfag,Vg1,2013,"43,8"
Ringerike,Musikk dans og drama,Vg1,2013,"41,3 M"
Ringerike,Service og samferdsel,Vg1,2013,"33,1"
Hønefoss,Bygg og anleggsteknikk,Vg1,2013,"25,3"
Hønefoss,Design og håndverk,Vg1,2013,"28,8"
Hønefoss,Elektrofag,Vg1,2013,"36,3"
Hønefoss,Helse og oppvekstfag,Vg1,2013,"26,3"
Hønefoss,Medier og kommunikasjon,Vg1,2013,"42,4"
Hønefoss,Restaurant og matfag,Vg1,2013,"26,3"
Hønefoss,Teknikk og industriell prod.,Vg1,2013,"27,0"
Eiker,Studiespesialisering,Vg1,2013,"39,4"
Eiker,Design og håndverk,Vg1,2013,"27,3"
Rosthaug,Studiespesialisering,Vg1,2013,38
Rosthaug,Idrettsfag,Vg1,2013,"31,8"
Rosthaug,Bygg og anleggsteknikk,Vg1,2013,"26,7"
Rosthaug,Helse og oppvekstfag,Vg1,2013,"26,4"
Rosthaug,Medier og kommunikasjon,Vg1,2013,"40,0"
Rosthaug,Naturbruk,Vg1,2013,"30,6"
Rosthaug,Restaurant og matfag,Vg1,2013,"18,8"
Rosthaug,Service og samferdsel,Vg1,2013,"33,1"
Rosthaug,Teknikk og industriell prod.,Vg1,2013,"23,0"
Åssiden,Bygg og anleggsteknikk,Vg1,2013,"27,6"
Åssiden,Design og håndverk,Vg1,2013,"28,8"
Åssiden,Elektrofag,Vg1,2013,"36,9"
Åssiden,Helse og oppvekstfag,Vg1,2013,"32,9"
Åssiden,Medier og kommunikasjon,Vg1,2013,"44,4"
Åssiden,Restaurant og matfag,Vg1,2013,"31,8"
Åssiden,Service og samferdsel,Vg1,2013,"36,0"
Åssiden,Teknikk og industriell prod.,Vg1,2013,"27,3"
Lier,Design og håndverk,Vg1,2013,"28,3"
Lier,Elektrofag,Vg1,2013,"34,7"
Lier,Helse og oppvekstfag,Vg1,2013,"31,8"
St. Hallvard,Studiespesialisering,Vg1,2013,"41,9"
St. Hallvard,Idrettsfag,Vg1,2013,"43,0"
St. Hallvard,Musikk dans og drama,Vg1,2013,"48,8 M"
St. Hallvard,Musikk dans og drama,Vg1,2013,"14,4 D"
St. Hallvard,Musikk dans og drama,Vg1,2013,"48,1 Dr"
Røyken,Studiespesialisering,Vg1,2013,"36,5"
Røyken,Studiespes. medformgiving,Vg1,2013,"34,4"
Røyken,Bygg og anleggsteknikk,Vg1,2013,"27,1"
Røyken,Design og håndverk,Vg1,2013,"28,1"
Røyken,Elektrofag,Vg1,2013,"34,4"
Røyken,Helse og oppvekstfag,Vg1,2013,"30,7"
Røyken,Medier og kommunikasjon,Vg1,2013,"42,5"
Drammen,Studiespesialisering,Vg1,2013,"43,1"
Drammen,Studiespesialisering,Vg1,2013,"42,4 E"
Drammen,Studiespesialisering,Vg1,2013,"48,1 Q"
Drammen,Studiespes. medformgiving,Vg1,2013,"40,6"
Drammen,Idrettsfag,Vg1,2013,"50,0 D-fotb"
Drammen,Idrettsfag,Vg1,2013,"50,6 E-håndb"
Drammen,Idrettsfag,Vg1,2013,"43,8 T-B H T"
Drammen,Idrettsfag,Vg1,2013,"51,9 U- L-S"
Drammen,Service og samferdsel,Vg1,2013,"39,4"
