# document: Buskerud fylkeskommune, «Statistikkhefte – inntak til videregående opplæring» 2014/2015, chapter 4
# file: buskerud-statistikkhefte-inntak-2014-2015.pdf, PDF page 8 (the table is a scanned image; sha256 692a2acbec8d972d05adba7737713bc588cc19c51711e49b80fbeed1bc719965)
# title: «4. Nedre poenggrense for inntak til Vg1 - hovedinntaket 2014 - 2015»
# title (English): 4. Lower points threshold for admission to Vg1 - the main intake 2014-2015.
# round: 1 (stated: «1. inntak» in 2012/13, «hovedinntaket» (the main intake) in 2013/14 and 2014/15)
# tier: the county's own document, transcribed because the table is an image
# legend: «Til Vg1 musikk/dans/drama, alle tilbud, og til Vg1 Idrettsfag ved Drammen og Ringerike er poenggrensene for de uten tilleggspoeng»
# legend (English): For Vg1 music/dance/drama (all offers) and for Vg1 Idrettsfag at Drammen and Ringerike, the thresholds are those for applicants without additional points.
# symbols: «alle»/«Alle» = everyone who applied was admitted (no threshold); M/Mu = musikk, D/Da = dans, Dr/DR/Dra = drama; E = m/ Entreprenørskap; Q = forskerlinje; N = Internasjonalisering; Idrettsfag branch markers (fotb/hånd/BHT/uthold/L-S) as printed; FL, YSK, Stud are printed without explanation.
# transcribed: lane X, 26 Sept 2026: two independent manual passes agree on every cell, OCR disagreements settled by zoom; orchestrator spot-check 46/46. `program` is the column header as printed; the queue marker (M, Da, Dr, Q, E, N, YSK, fotb, …) stays in `printed`, as on the page.
school,program,level,year,printed
Gol,Studiespesialisering,Vg1,2014,Alle
Gol,Idrettsfag,Vg1,2014,"40,7"
Gol,Musikk dans og drama,Vg1,2014,Alle Dr
Gol,Design og håndverk,Vg1,2014,Alle
Gol,Medier og kommunikasjon,Vg1,2014,"28,8"
Gol,Restaurant og matfag,Vg1,2014,Alle
Ål,Bygg og anleggsteknikk,Vg1,2014,Alle
Ål,Elektrofag,Vg1,2014,"34,7"
Ål,Helse og oppvekstfag,Vg1,2014,"26,18"
Ål,Naturbruk,Vg1,2014,Alle FL
Ål,Service og samferdsel,Vg1,2014,Alle
Ål,Teknikk og industriell prod.,Vg1,2014,"25,9"
Numedal,Studiespesialisering,Vg1,2014,Alle
Numedal,Bygg og anleggsteknikk,Vg1,2014,Alle
Numedal,Elektrofag,Vg1,2014,Alle
Numedal,Helse og oppvekstfag,Vg1,2014,Alle
Numedal,Service og samferdsel,Vg1,2014,"27,5"
Numedal,Teknikk og industriell prod.,Vg1,2014,Alle
Kongsberg,Studiespesialisering,Vg1,2014,"39,4"
Kongsberg,Studiespesialisering,Vg1,2014,"32,5 Q"
Kongsberg,Idrettsfag,Vg1,2014,"41,9"
Kongsberg,Musikk dans og drama,Vg1,2014,"33,5 M"
Kongsberg,Bygg og anleggsteknikk,Vg1,2014,"26,9"
Kongsberg,Design og håndverk,Vg1,2014,"26,3"
Kongsberg,Elektrofag,Vg1,2014,"33,1"
